"""Origen""","""Destino""","""Valor"""
'avila',' Teruel', 
'avila',' Toledo',71
'avila',' Valencia_València',6
'avila',' Valladolid',42
'avila',' Zamora',12
'avila',' Zaragoza',2
'avila',' Ceuta',4
'avila',' Melilla',4
'Badajoz',' Albacete',5
'Badajoz',' Alicante_Alacant',44
'Badajoz',' Almeria',15
'Badajoz',' Araba_alava',4
'Badajoz',' Asturias',15
'Badajoz',' avila',5
'Badajoz',' Badajoz', 
'Badajoz',' Balears_ Illes',71
'Badajoz',' Barcelona',157
'Badajoz',' Bizkaia',33
'Badajoz',' Burgos',8
'Badajoz',' Caceres',288
'Badajoz',' Cadiz',55
'Badajoz',' Cantabria',21
'Badajoz',' Castellon_Castello',22
'Badajoz',' Ciudad Real',33
'Badajoz',' Cordoba',83
'Badajoz',' Coruña_ A',12
'Badajoz',' Cuenca',3
'Badajoz',' Gipuzkoa',21
'Badajoz',' Girona',20
'Badajoz',' Granada',24
'Badajoz',' Guadalajara',9
'Badajoz',' Huelva',75
'Badajoz',' Huesca',8
'Badajoz',' Jaen',38
'Badajoz',' Leon',10
'Badajoz',' Lleida',6
'Badajoz',' Lugo',6
'Badajoz',' Madrid',359
'Badajoz',' Malaga',67
'Badajoz',' Murcia',16
'Badajoz',' Navarra',15
'Badajoz',' Ourense',5
'Badajoz',' Palencia',4
'Badajoz',' Palmas_ Las',58
'Badajoz',' Pontevedra',12
'Badajoz',' Rioja_ La',6
'Badajoz',' Salamanca',24
'Badajoz',' Santa Cruz de Tenerife',23
'Badajoz',' Segovia',5
'Badajoz',' Sevilla',199
'Badajoz',' Soria',3
'Badajoz',' Tarragona',16
'Badajoz',' Teruel',1
'Badajoz',' Toledo',41
'Badajoz',' Valencia_València',56
'Badajoz',' Valladolid',23
'Badajoz',' Zamora',10
'Badajoz',' Zaragoza',20
'Badajoz',' Ceuta',6
'Badajoz',' Melilla',3
'Balears_ Illes',' Albacete',110
'Balears_ Illes',' Alicante_Alacant',424
'Balears_ Illes',' Almeria',156
'Balears_ Illes',' Araba_alava',33
'Balears_ Illes',' Asturias',146
'Balears_ Illes',' avila',32
'Balears_ Illes',' Badajoz',221
'Balears_ Illes',' Balears_ Illes', 
'Balears_ Illes',' Barcelona',1386
'Balears_ Illes',' Bizkaia',114
'Balears_ Illes',' Burgos',43
'Balears_ Illes',' Caceres',87
'Balears_ Illes',' Cadiz',598
'Balears_ Illes',' Cantabria',72
'Balears_ Illes',' Castellon_Castello',132
'Balears_ Illes',' Ciudad Real',102
'Balears_ Illes',' Cordoba',264
'Balears_ Illes',' Coruña_ A',142
'Balears_ Illes',' Cuenca',35
'Balears_ Illes',' Gipuzkoa',65
'Balears_ Illes',' Girona',106
'Balears_ Illes',' Granada',448
'Balears_ Illes',' Guadalajara',35
'Balears_ Illes',' Huelva',104
'Balears_ Illes',' Huesca',47
'Balears_ Illes',' Jaen',215
'Balears_ Illes',' Leon',87
'Balears_ Illes',' Lleida',71
'Balears_ Illes',' Lugo',30
'Balears_ Illes',' Madrid',1316
'Balears_ Illes',' Malaga',371
'Balears_ Illes',' Murcia',290
'Balears_ Illes',' Navarra',55
'Balears_ Illes',' Ourense',35
'Balears_ Illes',' Palencia',18
'Balears_ Illes',' Palmas_ Las',266
'Balears_ Illes',' Pontevedra',155
'Balears_ Illes',' Rioja_ La',23
'Balears_ Illes',' Salamanca',56
'Balears_ Illes',' Santa Cruz de Tenerife',199
'Balears_ Illes',' Segovia',16
'Balears_ Illes',' Sevilla',683
'Balears_ Illes',' Soria',12
'Balears_ Illes',' Tarragona',138
'Balears_ Illes',' Teruel',11
'Balears_ Illes',' Toledo',112
'Balears_ Illes',' Valencia_València',691
'Balears_ Illes',' Valladolid',64
'Balears_ Illes',' Zamora',12
'Balears_ Illes',' Zaragoza',113
'Balears_ Illes',' Ceuta',14
'Balears_ Illes',' Melilla',40
'Barcelona',' Albacete',117
'Barcelona',' Alicante_Alacant',790
'Barcelona',' Almeria',334
'Barcelona',' Araba_alava',111
'Barcelona',' Asturias',277
'Barcelona',' avila',31
'Barcelona',' Badajoz',264
'Barcelona',' Balears_ Illes',1196
'Barcelona',' Barcelona', 
'Barcelona',' Bizkaia',292
'Barcelona',' Burgos',101
'Barcelona',' Caceres',137
'Barcelona',' Cadiz',356
'Barcelona',' Cantabria',156
'Barcelona',' Castellon_Castello',378
'Barcelona',' Ciudad Real',157
'Barcelona',' Cordoba',271
'Barcelona',' Coruña_ A',294
'Barcelona',' Cuenca',66
'Barcelona',' Gipuzkoa',229
'Barcelona',' Girona',2709
'Barcelona',' Granada',403
'Barcelona',' Guadalajara',75
'Barcelona',' Huelva',156
'Barcelona',' Huesca',257
'Barcelona',' Jaen',217
'Barcelona',' Leon',171
'Barcelona',' Lleida',1083
'Barcelona',' Lugo',113
'Barcelona',' Madrid',2205
'Barcelona',' Malaga',620
'Barcelona',' Murcia',451
'Barcelona',' Navarra',234
'Barcelona',' Ourense',108
'Barcelona',' Palencia',35
'Barcelona',' Palmas_ Las',350
'Barcelona',' Pontevedra',250
'Barcelona',' Rioja_ La',142
'Barcelona',' Salamanca',140
'Barcelona',' Santa Cruz de Tenerife',378
'Barcelona',' Segovia',31
'Barcelona',' Sevilla',552
'Barcelona',' Soria',41
'Barcelona',' Tarragona',2752
'Barcelona',' Teruel',140
'Barcelona',' Toledo',169
'Barcelona',' Valencia_València',1041
'Barcelona',' Valladolid',129
'Barcelona',' Zamora',58
'Barcelona',' Zaragoza',505
'Barcelona',' Ceuta',42
'Barcelona',' Melilla',140
'Bizkaia',' Albacete',16
'Bizkaia',' Alicante_Alacant',93
'Bizkaia',' Almeria',34
'Bizkaia',' Araba_alava',363
'Bizkaia',' Asturias',84
'Bizkaia',' avila',13
'Bizkaia',' Badajoz',41
